epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4244.66,0.44547,0.41982,1.18759,0.93211,0.93415,0.95588,0.74547,0.75098,0.47033,1.43355,0.000828443,0.000828443,0.000828443
43,4710.77,0.44908,0.42654,1.19091,0.92957,0.92908,0.95266,0.74675,0.74281,0.42016,1.45397,0.000820525,0.000820525,0.000820525
44,5165.39,0.44285,0.42209,1.18836,0.91329,0.93788,0.95641,0.74463,0.76141,0.44448,1.46204,0.000812468,0.000812468,0.000812468
45,5617.05,0.43868,0.41434,1.18441,0.9311,0.93247,0.9556,0.75281,0.75268,0.42952,1.44432,0.000804277,0.000804277,0.000804277
46,6071.79,0.43797,0.41211,1.18459,0.93906,0.93624,0.95868,0.74518,0.75939,0.4251,1.4521,0.000795954,0.000795954,0.000795954
47,6537.55,0.43342,0.41506,1.17355,0.92771,0.93263,0.95877,0.75257,0.74161,0.41955,1.44112,0.000787503,0.000787503,0.000787503
48,7002.46,0.43792,0.40778,1.18271,0.91891,0.94433,0.95484,0.75384,0.76231,0.45852,1.44977,0.000778929,0.000778929,0.000778929
49,7469.87,0.43528,0.40081,1.18121,0.92876,0.93504,0.95875,0.75586,0.73061,0.42977,1.4297,0.000770234,0.000770234,0.000770234
50,7936.2,0.43944,0.424,1.18438,0.93819,0.93348,0.96062,0.75524,0.72538,0.41256,1.4126,0.000761423,0.000761423,0.000761423
51,8397.86,0.42372,0.39097,1.17464,0.94422,0.92939,0.95666,0.75839,0.72992,0.39675,1.42542,0.0007525,0.0007525,0.0007525
52,8857.13,0.43173,0.40119,1.17569,0.93545,0.94675,0.96368,0.75425,0.71964,0.40481,1.42112,0.000743468,0.000743468,0.000743468
53,9323.84,0.42933,0.39941,1.17405,0.94277,0.95083,0.96628,0.75347,0.7381,0.40664,1.42367,0.000734332,0.000734332,0.000734332
54,9790.91,0.42799,0.3965,1.1725,0.93483,0.93992,0.95968,0.77105,0.70311,0.3787,1.40412,0.000725094,0.000725094,0.000725094
55,10257.5,0.41712,0.39065,1.16675,0.93466,0.93238,0.95764,0.76432,0.71394,0.40143,1.40088,0.000715761,0.000715761,0.000715761
56,10721.2,0.42061,0.38667,1.16978,0.94591,0.94027,0.96331,0.76318,0.74504,0.40728,1.4396,0.000706335,0.000706335,0.000706335
57,11183.8,0.42756,0.39429,1.17403,0.93977,0.93271,0.95937,0.7676,0.73377,0.41819,1.41141,0.00069682,0.00069682,0.00069682
58,11647,0.42774,0.39785,1.17242,0.93115,0.94232,0.96423,0.77344,0.70807,0.39337,1.38774,0.000687222,0.000687222,0.000687222
59,12110.9,0.42059,0.38439,1.16989,0.92772,0.94588,0.96389,0.77403,0.7143,0.39695,1.39043,0.000677543,0.000677543,0.000677543
60,12575,0.41944,0.38006,1.16801,0.93849,0.93819,0.95774,0.76237,0.72564,0.42513,1.40917,0.000667789,0.000667789,0.000667789
61,13040.3,0.42135,0.38863,1.16951,0.92859,0.94681,0.96088,0.77084,0.71354,0.38934,1.40504,0.000657963,0.000657963,0.000657963
62,469.254,0.46435,4.11236,1.22868,0.9266,0.94768,0.95828,0.74618,0.76252,0.43028,1.43756,0.000648071,0.000648071,0.000648071
63,931.509,0.42779,0.40458,1.22006,0.92766,0.93715,0.9549,0.75548,0.74651,0.43214,1.43052,0.000638115,0.000638115,0.000638115
64,1390.89,0.4302,0.39595,1.21066,0.93302,0.93738,0.95947,0.75637,0.74818,0.42021,1.43359,0.000628101,0.000628101,0.000628101
65,1851.07,0.42141,0.39476,1.17333,0.93133,0.93904,0.96046,0.76382,0.73243,0.42722,1.41004,0.000618034,0.000618034,0.000618034
66,2312.88,0.42043,0.38715,1.19336,0.93185,0.94799,0.96299,0.76181,0.74663,0.44347,1.41139,0.000607916,0.000607916,0.000607916
67,2766.76,0.4155,0.38319,1.17591,0.93096,0.94283,0.96633,0.7614,0.73557,0.42478,1.41647,0.000597754,0.000597754,0.000597754
68,3218.51,0.41209,0.37286,1.17418,0.92029,0.94401,0.96327,0.75926,0.74276,0.42086,1.42402,0.000587551,0.000587551,0.000587551
69,3672.6,0.41083,0.38039,1.16545,0.93707,0.94184,0.96293,0.75953,0.73303,0.42285,1.41323,0.000577311,0.000577311,0.000577311
70,4123.64,0.41336,0.38312,1.16837,0.93129,0.94197,0.96019,0.76525,0.73333,0.41741,1.41435,0.00056704,0.00056704,0.00056704
71,4574.27,0.40758,0.38022,1.17242,0.93334,0.94439,0.96126,0.76516,0.74336,0.42702,1.42178,0.000556742,0.000556742,0.000556742
72,5024.8,0.4069,0.37392,1.16608,0.93423,0.94077,0.96377,0.75826,0.75134,0.42122,1.42042,0.000546421,0.000546421,0.000546421
73,5476.76,0.40513,0.37151,1.16176,0.93167,0.95047,0.96797,0.76061,0.75636,0.42021,1.42094,0.000536081,0.000536081,0.000536081
74,5928.5,0.40151,0.37187,1.15704,0.91958,0.94746,0.9631,0.759,0.74873,0.41446,1.41946,0.000525728,0.000525728,0.000525728
75,6378.71,0.40693,0.36666,1.1645,0.92062,0.94718,0.96521,0.75882,0.74449,0.40799,1.41737,0.000515366,0.000515366,0.000515366
76,6829.05,0.40071,0.36121,1.15913,0.91569,0.94922,0.9665,0.76184,0.73231,0.41425,1.41067,0.000505,0.000505,0.000505
77,7280.48,0.40786,0.37391,1.17102,0.94222,0.93747,0.96494,0.76571,0.72626,0.40444,1.40169,0.000494634,0.000494634,0.000494634
78,7731.5,0.39169,0.35086,1.15221,0.94701,0.93953,0.96311,0.76256,0.727,0.40006,1.4093,0.000484272,0.000484272,0.000484272
79,511.827,0.4032,0.37021,1.1537,0.94122,0.93624,0.96049,0.76028,0.72173,0.40698,1.4063,0.000473919,0.000473919,0.000473919
80,984.416,0.39069,0.35859,1.1535,0.94376,0.9376,0.96188,0.76,0.7271,0.4074,1.41098,0.000463579,0.000463579,0.000463579
81,1456.86,0.39709,0.35712,1.15259,0.94076,0.94669,0.96379,0.76277,0.73386,0.40304,1.41596,0.000453258,0.000453258,0.000453258
82,1932.79,0.39061,0.35435,1.1483,0.94463,0.94591,0.96415,0.76168,0.7309,0.40375,1.41052,0.00044296,0.00044296,0.00044296
83,2409.12,0.39163,0.34756,1.14693,0.93674,0.94843,0.96735,0.76486,0.73602,0.40312,1.41168,0.000432689,0.000432689,0.000432689
84,2883.31,0.38444,0.34556,1.1439,0.94424,0.939,0.96557,0.76798,0.73504,0.40367,1.41199,0.000422449,0.000422449,0.000422449
85,3359.91,0.38681,0.33992,1.14321,0.94708,0.94048,0.96791,0.76839,0.73701,0.40054,1.41746,0.000412246,0.000412246,0.000412246
86,3833.8,0.38538,0.34487,1.14728,0.94424,0.94265,0.96699,0.77011,0.73612,0.39658,1.4172,0.000402084,0.000402084,0.000402084
87,4308.87,0.38727,0.34842,1.14454,0.94316,0.94342,0.96773,0.76915,0.73477,0.39396,1.41634,0.000391966,0.000391966,0.000391966
88,4777.47,0.38269,0.34225,1.15039,0.9467,0.94214,0.96544,0.7669,0.73298,0.39233,1.41409,0.000381899,0.000381899,0.000381899
89,5237.1,0.38079,0.33946,1.14089,0.9398,0.94534,0.96838,0.76614,0.73162,0.39266,1.40914,0.000371885,0.000371885,0.000371885
90,5694.48,0.37935,0.3373,1.13971,0.95427,0.94191,0.96923,0.76323,0.73502,0.39314,1.40822,0.000361929,0.000361929,0.000361929
91,6152.8,0.37445,0.34282,1.13201,0.94733,0.94614,0.9682,0.76498,0.73507,0.3943,1.40857,0.000352037,0.000352037,0.000352037
92,6610.53,0.38113,0.33843,1.14329,0.94499,0.93862,0.96562,0.76421,0.73434,0.39646,1.40717,0.000342211,0.000342211,0.000342211
93,7069.17,0.37832,0.33575,1.13932,0.94326,0.94001,0.96598,0.76265,0.73487,0.39936,1.40769,0.000332457,0.000332457,0.000332457
94,7525.94,0.38641,0.3458,1.14568,0.9467,0.9398,0.96367,0.76492,0.73201,0.39803,1.40612,0.000322778,0.000322778,0.000322778
95,7984.14,0.37161,0.33306,1.13519,0.94885,0.93987,0.96344,0.76428,0.72334,0.39452,1.39951,0.00031318,0.00031318,0.00031318
96,8441.02,0.38696,0.34621,1.1485,0.94825,0.9403,0.96504,0.76453,0.72065,0.39322,1.39776,0.000303665,0.000303665,0.000303665
97,8899.76,0.38059,0.34771,1.13746,0.94553,0.94051,0.96396,0.76459,0.721,0.39343,1.3979,0.000294239,0.000294239,0.000294239
98,9358.72,0.38045,0.34347,1.13659,0.94047,0.94744,0.96511,0.76377,0.72099,0.39161,1.39826,0.000284906,0.000284906,0.000284906
